timestamp;Ladezustand;Batterie (Laden);Batterie (Entladen);Netzeinspeisung;Netzbezug;Solarproduktion Tracker 1;Solarproduktion Tracker 2;Solarproduktion;Hausverbrauch
2020-09-03 00:00;90;0;68;1;1;0;0;0;53
2020-09-03 00:15;90;0;64;0;0;0;0;0;49
2020-09-03 00:30;89;0;60;0;0;0;0;0;46
2020-09-03 00:45;89;0;68;1;0;0;0;0;53
2020-09-03 01:00;88;0;69;0;0;0;0;0;55
2020-09-03 01:15;88;0;70;0;0;0;0;0;55
2020-09-03 01:30;87;0;71;1;1;0;0;0;56
2020-09-03 01:45;86;0;57;0;0;0;0;0;43
2020-09-03 02:00;86;0;68;0;0;0;0;0;53
2020-09-03 02:15;85;0;81;1;0;0;0;0;67
2020-09-03 02:30;85;0;60;0;0;0;0;0;46
2020-09-03 02:45;84;0;52;1;3;0;0;0;41
2020-09-03 03:00;83;0;79;1;1;0;0;0;64
